signature	etiology	etiologyBroad	associated_signatures_extracted	k_3	k_3top_words	k_2	k_2top_words
SBS17a	Damage by ROS	Damage by ROS	SBS17b	1	sequencing, artifact, sequencing_artifact, unknown, deficiency	1	sequencing, artifact, sequencing_artifact, unknown, deficiency
SBS18	Damage by ROS	Damage by ROS		1	sequencing, artifact, sequencing_artifact, unknown, deficiency	1	sequencing, artifact, sequencing_artifact, unknown, deficiency
SBS17b	Damage by ROS / 5FU chemotherapy	Damage by ROS	SBS17a	1	sequencing, artifact, sequencing_artifact, unknown, deficiency	1	sequencing, artifact, sequencing_artifact, unknown, deficiency
SBS10c	Defective POLD1 proofreading	Defective POLD1 proofreading	ID1	1	sequencing, artifact, sequencing_artifact, unknown, deficiency	1	sequencing, artifact, sequencing_artifact, unknown, deficiency
SBS10d	Defective POLD1 proofreading	Defective POLD1 proofreading	SBS10c;ID1	1	sequencing, artifact, sequencing_artifact, unknown, deficiency	1	sequencing, artifact, sequencing_artifact, unknown, deficiency
SBS90	Duocarmycin exposure	Duocarmycin exposure		1	sequencing, artifact, sequencing_artifact, unknown, deficiency	1	sequencing, artifact, sequencing_artifact, unknown, deficiency
SBS54	Germline variants contamination	Germline variants contamination		3	as.matrix.dtm.clustering....x....	2	as.matrix.dtm.clustering....x....
SBS42	Haloalkanes exposure	Haloalkanes exposure		1	sequencing, artifact, sequencing_artifact, unknown, deficiency	1	sequencing, artifact, sequencing_artifact, unknown, deficiency
SBS3	HR deficiency	HR deficiency	ID6	1	sequencing, artifact, sequencing_artifact, unknown, deficiency	1	sequencing, artifact, sequencing_artifact, unknown, deficiency
SBS8	HR deficiency / NER deficiency	HR deficiency		1	sequencing, artifact, sequencing_artifact, unknown, deficiency	1	sequencing, artifact, sequencing_artifact, unknown, deficiency
SBS6	MMR deficiency	MMR deficiency	ID1;ID2	1	sequencing, artifact, sequencing_artifact, unknown, deficiency	1	sequencing, artifact, sequencing_artifact, unknown, deficiency
SBS15	MMR deficiency	MMR deficiency	ID1;ID2	1	sequencing, artifact, sequencing_artifact, unknown, deficiency	1	sequencing, artifact, sequencing_artifact, unknown, deficiency
SBS21	MMR deficiency	MMR deficiency	ID1;ID2	1	sequencing, artifact, sequencing_artifact, unknown, deficiency	1	sequencing, artifact, sequencing_artifact, unknown, deficiency
SBS26	MMR deficiency	MMR deficiency	ID1;ID2	1	sequencing, artifact, sequencing_artifact, unknown, deficiency	1	sequencing, artifact, sequencing_artifact, unknown, deficiency
SBS44	MMR deficiency	MMR deficiency	ID1;ID2	1	sequencing, artifact, sequencing_artifact, unknown, deficiency	1	sequencing, artifact, sequencing_artifact, unknown, deficiency
SBS20	MMR deficiency + POLD1 mutation	MMR deficiency	ID1;ID2	1	sequencing, artifact, sequencing_artifact, unknown, deficiency	1	sequencing, artifact, sequencing_artifact, unknown, deficiency
SBS14	MMR deficiency + POLE mutation	MMR deficiency	ID1;ID2	1	sequencing, artifact, sequencing_artifact, unknown, deficiency	1	sequencing, artifact, sequencing_artifact, unknown, deficiency
SBS31	Platinum chemotherapy	Platinum chemotherapy	DBS5	2	chemotherapy, platinum, platinum_chemotherapy, thiopurine, thiopurine_chemotherapy	1	sequencing, artifact, sequencing_artifact, unknown, deficiency
SBS35	Platinum chemotherapy	Platinum chemotherapy	DBS5	2	chemotherapy, platinum, platinum_chemotherapy, thiopurine, thiopurine_chemotherapy	1	sequencing, artifact, sequencing_artifact, unknown, deficiency
